County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
48 - Solano,2013-10-14T00:00:00,In Closure,"$31,418,524.00 ",17,Bay Area Counties
49 - Sonoma,2013-10-14T00:00:00,In Review,"$31,381,318.60 ",14,Bay Area Counties
49 - Sonoma,2013-10-14T00:00:00,Pending Construction,"$6,376,395.00 ",24,Bay Area Counties
49 - Sonoma,2013-10-14T00:00:00,In Construction,"$132,633,275.30 ",45,Bay Area Counties
49 - Sonoma,2013-10-14T00:00:00,In Closure,"$32,737,034.30 ",18,Bay Area Counties
50 - Stanislaus,2013-10-14T00:00:00,In Review,"$24,530,158.00 ",18,""
50 - Stanislaus,2013-10-14T00:00:00,Pending Construction,"$5,015,927.00 ",18,""
50 - Stanislaus,2013-10-14T00:00:00,In Construction,"$65,346,519.66 ",39,""
50 - Stanislaus,2013-10-14T00:00:00,In Closure,"$27,886,492.48 ",48,""
51 - Sutter,2013-10-14T00:00:00,In Review,"$12,684,000.00 ",3,""
51 - Sutter,2013-10-14T00:00:00,Pending Construction,"$52,033.00 ",3,""
51 - Sutter,2013-10-14T00:00:00,In Construction,"$30,500.00 ",2,""
51 - Sutter,2013-10-14T00:00:00,In Closure,"$23,000.00 ",1,""
52 - Tehama,2013-10-14T00:00:00,In Review,"$359,700.00 ",2,""
52 - Tehama,2013-10-14T00:00:00,Pending Construction,"$414,500.00 ",6,""
52 - Tehama,2013-10-14T00:00:00,In Construction,"$1,809,800.00 ",4,""
52 - Tehama,2013-10-14T00:00:00,In Closure,$0.00 ,0,""
53 - Trinity,2013-10-14T00:00:00,In Review,"$8,200.00 ",2,""
53 - Trinity,2013-10-14T00:00:00,Pending Construction,"$13,200.00 ",2,""
53 - Trinity,2013-10-14T00:00:00,In Construction,"$313,838.00 ",1,""
53 - Trinity,2013-10-14T00:00:00,In Closure,$0.00 ,0,""
54 - Tulare,2013-10-14T00:00:00,In Review,"$33,777,068.00 ",16,""
54 - Tulare,2013-10-14T00:00:00,Pending Construction,"$1,567,698.29 ",4,""
54 - Tulare,2013-10-14T00:00:00,In Construction,"$83,883,087.00 ",11,""
54 - Tulare,2013-10-14T00:00:00,In Closure,"$6,858,222.98 ",31,""
55 - Tuolumne,2013-10-14T00:00:00,In Review,"$8,000.00 ",1,""
55 - Tuolumne,2013-10-14T00:00:00,Pending Construction,"$1,007,100.00 ",6,""
55 - Tuolumne,2013-10-14T00:00:00,In Construction,"$634,000.00 ",4,""
55 - Tuolumne,2013-10-14T00:00:00,In Closure,"$1,203,773.91 ",14,""
56 - Ventura,2013-10-14T00:00:00,In Review,"$235,177,920.66 ",35,Greater Los Angeles Counties
56 - Ventura,2013-10-14T00:00:00,Pending Construction,"$32,449,356.33 ",36,Greater Los Angeles Counties
56 - Ventura,2013-10-14T00:00:00,In Construction,"$375,407,499.00 ",65,Greater Los Angeles Counties
56 - Ventura,2013-10-14T00:00:00,In Closure,"$30,244,225.00 ",53,Greater Los Angeles Counties
57 - Yolo,2013-10-14T00:00:00,In Review,"$683,540.00 ",5,Greater Sacramento Counties
57 - Yolo,2013-10-14T00:00:00,Pending Construction,"$584,000.00 ",3,Greater Sacramento Counties
57 - Yolo,2013-10-14T00:00:00,In Construction,"$1,483,044.00 ",7,Greater Sacramento Counties
57 - Yolo,2013-10-14T00:00:00,In Closure,"$63,505.00 ",3,Greater Sacramento Counties
58 - Yuba,2013-10-14T00:00:00,In Review,"$31,461,706.50 ",1,""
58 - Yuba,2013-10-14T00:00:00,Pending Construction,"$32,194,189.50 ",3,""
58 - Yuba,2013-10-14T00:00:00,In Construction,"$68,363,126.00 ",5,""
58 - Yuba,2013-10-14T00:00:00,In Closure,"$446,592.00 ",4,""
01 - Alameda,2013-10-15T00:00:00,In Review,"$45,337,315.00 ",0,Bay Area Counties
01 - Alameda,2013-10-15T00:00:00,Pending Construction,"$795,141,978.61 ",0,Bay Area Counties
01 - Alameda,2013-10-15T00:00:00,In Construction,"$1,038,738,230.28 ",0,Bay Area Counties
01 - Alameda,2013-10-15T00:00:00,In Closure,"$72,859,816.67 ",0,Bay Area Counties
02 - Alpine,2013-10-15T00:00:00,In Review,$0.00 ,0,""
02 - Alpine,2013-10-15T00:00:00,Pending Construction,$0.00 ,0,""
02 - Alpine,2013-10-15T00:00:00,In Construction,$0.00 ,0,""
02 - Alpine,2013-10-15T00:00:00,In Closure,$0.00 ,0,""
03 - Amador,2013-10-15T00:00:00,In Review,"$1,610,809.00 ",0,""
03 - Amador,2013-10-15T00:00:00,Pending Construction,$0.00 ,0,""
03 - Amador,2013-10-15T00:00:00,In Construction,"$1,793,567.00 ",0,""
03 - Amador,2013-10-15T00:00:00,In Closure,$0.00 ,0,""
04 - Butte,2013-10-15T00:00:00,In Review,"$6,231,107.00 ",0,""
04 - Butte,2013-10-15T00:00:00,Pending Construction,"$2,137,000.00 ",0,""
04 - Butte,2013-10-15T00:00:00,In Construction,"$90,826,245.00 ",0,""
04 - Butte,2013-10-15T00:00:00,In Closure,"$717,911.00 ",0,""
05 - Calaveras,2013-10-15T00:00:00,In Review,$0.00 ,0,""
05 - Calaveras,2013-10-15T00:00:00,Pending Construction,"$42,500.00 ",0,""
05 - Calaveras,2013-10-15T00:00:00,In Construction,$0.00 ,0,""
05 - Calaveras,2013-10-15T00:00:00,In Closure,"$177,991.00 ",0,""
06 - Colusa,2013-10-15T00:00:00,In Review,"$16,951.00 ",0,""
06 - Colusa,2013-10-15T00:00:00,Pending Construction,"$25,000.00 ",0,""
06 - Colusa,2013-10-15T00:00:00,In Construction,$0.00 ,0,""
06 - Colusa,2013-10-15T00:00:00,In Closure,$0.00 ,0,""
07 - Contra Costa,2013-10-15T00:00:00,In Review,"$19,056,779.00 ",0,Bay Area Counties
07 - Contra Costa,2013-10-15T00:00:00,Pending Construction,"$19,027,672.00 ",0,Bay Area Counties
07 - Contra Costa,2013-10-15T00:00:00,In Construction,"$41,165,117.98 ",0,Bay Area Counties
07 - Contra Costa,2013-10-15T00:00:00,In Closure,$0.00 ,0,Bay Area Counties
08 - Del Norte,2013-10-15T00:00:00,In Review,$0.00 ,0,""
08 - Del Norte,2013-10-15T00:00:00,Pending Construction,$0.00 ,0,""
08 - Del Norte,2013-10-15T00:00:00,In Construction,"$6,763,431.00 ",0,""
08 - Del Norte,2013-10-15T00:00:00,In Closure,"$262,211.00 ",0,""
09 - El Dorado,2013-10-15T00:00:00,In Review,"$11,759,315.00 ",0,Greater Sacramento Counties
09 - El Dorado,2013-10-15T00:00:00,Pending Construction,"$12,500.00 ",0,Greater Sacramento Counties
09 - El Dorado,2013-10-15T00:00:00,In Construction,"$12,210,865.00 ",0,Greater Sacramento Counties
09 - El Dorado,2013-10-15T00:00:00,In Closure,"$23,367,713.00 ",0,Greater Sacramento Counties
10 - Fresno,2013-10-15T00:00:00,In Review,"$38,459,929.71 ",0,""
10 - Fresno,2013-10-15T00:00:00,Pending Construction,"$9,783,040.00 ",0,""
10 - Fresno,2013-10-15T00:00:00,In Construction,"$240,892,109.93 ",0,""
10 - Fresno,2013-10-15T00:00:00,In Closure,"$17,700,341.37 ",0,""
11 - Glenn,2013-10-15T00:00:00,In Review,$0.00 ,0,""
11 - Glenn,2013-10-15T00:00:00,Pending Construction,$0.00 ,0,""
11 - Glenn,2013-10-15T00:00:00,In Construction,"$224,685.00 ",0,""
11 - Glenn,2013-10-15T00:00:00,In Closure,"$10,000.00 ",0,""
12 - Humboldt,2013-10-15T00:00:00,In Review,"$5,415,000.00 ",0,""
12 - Humboldt,2013-10-15T00:00:00,Pending Construction,"$1,456,000.00 ",0,""
12 - Humboldt,2013-10-15T00:00:00,In Construction,"$88,258,714.00 ",0,""
12 - Humboldt,2013-10-15T00:00:00,In Closure,"$727,801.00 ",0,""
