COUNTRY_CODE,SEX,AGE,TIME,RES_POP,pop
CZ,M,Y65-84,2011,10000-99999,189495
CZ,M,Y65-84,2011,100000-499999,65296
CZ,M,Y65-84,2011,500000-999999,0
CZ,M,Y65-84,2011,GE1000000,74110
DE,F,Y_GE85,2011,0-1000,130421
DE,F,Y_GE85,2011,1000-9999,341441
DE,F,Y_GE85,2011,10000-99999,400448
DE,F,Y_GE85,2011,100000-499999,174258
DE,F,Y_GE85,2011,500000-999999,96642
DE,F,Y_GE85,2011,GE1000000,258785
DE,F,Y_LT15,2011,0-1000,641300
DE,F,Y_LT15,2011,1000-9999,1426203
DE,F,Y_LT15,2011,10000-99999,1328308
DE,F,Y_LT15,2011,100000-499999,578813
DE,F,Y_LT15,2011,500000-999999,321804
DE,F,Y_LT15,2011,GE1000000,963662
DE,F,Y15-29,2011,0-1000,686500
DE,F,Y15-29,2011,1000-9999,1594047
DE,F,Y15-29,2011,10000-99999,1703653
DE,F,Y15-29,2011,100000-499999,920546
DE,F,Y15-29,2011,500000-999999,470934
DE,F,Y15-29,2011,GE1000000,1369400
DE,F,Y30-49,2011,0-1000,1341863
DE,F,Y30-49,2011,1000-9999,2929008
DE,F,Y30-49,2011,10000-99999,2784618
DE,F,Y30-49,2011,100000-499999,1282266
DE,F,Y30-49,2011,500000-999999,733202
DE,F,Y30-49,2011,GE1000000,2254620
DE,F,Y50-64,2011,0-1000,1012139
DE,F,Y50-64,2011,1000-9999,2206764
DE,F,Y50-64,2011,10000-99999,2148363
DE,F,Y50-64,2011,100000-499999,911202
DE,F,Y50-64,2011,500000-999999,488215
DE,F,Y50-64,2011,GE1000000,1480534
DE,F,Y65-84,2011,0-1000,883459
DE,F,Y65-84,2011,1000-9999,2052896
DE,F,Y65-84,2011,10000-99999,2205366
DE,F,Y65-84,2011,100000-499999,939592
DE,F,Y65-84,2011,500000-999999,519095
DE,F,Y65-84,2011,GE1000000,1493387
DE,M,Y_GE85,2011,0-1000,51587
